num_processes,total_time,cpu_time,min_block_time,max_block_time,throughput_MB_s
1,0.012292,0.009797,0.00004,0.004501,56.39
2,0.004382,0.005665,0.000038,0.000149,158.18
4,0.002896,0.007021,0.000041,0.000553,239.35
6,0.0022,0.006913,0.000047,0.000176,315.08
8,0.002189,0.008186,0.000034,0.000193,316.66
10,0.002831,0.008766,0.000052,0.000236,244.85
15,0.003037,0.009335,0.000049,0.000281,228.24
