num_processes,total_time,cpu_time,min_block_time,max_block_time,throughput_MB_s
1,0.013602,0.00841,0.000019,0.000091,140.53
2,0.006759,0.00808,0.000017,0.000096,282.81
4,0.005774,0.011485,0.000018,0.000358,331.05
6,0.004213,0.011069,0.000015,0.000161,453.72
8,0.003978,0.012926,0.000021,0.000191,480.52
10,0.005009,0.017418,0.000018,0.000831,381.62
15,0.004441,0.013689,0.000021,0.000316,430.42
