num_processes,total_time,cpu_time,min_block_time,max_block_time,throughput_MB_s
1,0.03965,0.033939,0.000003,0.010079,52.63
2,0.01527,0.023609,0.000004,0.002278,136.65
4,0.015272,0.05151,0.000003,0.006378,136.63
6,0.008877,0.040808,0.000003,0.000916,235.06
8,0.007792,0.045737,0.000003,0.000605,267.79
10,0.014554,0.120878,0.000006,0.007117,143.37
15,0.009378,0.074668,0.000005,0.001631,222.5
