num_processes,total_time,cpu_time,min_block_time,max_block_time,throughput_MB_s
1,0.013636,0.008465,0.000017,0.000084,141.82
2,0.008687,0.011574,0.000019,0.000095,222.61
4,0.004717,0.010342,0.000023,0.000105,409.97
6,0.004179,0.012761,0.000032,0.0002,462.75
8,0.00439,0.014657,0.000022,0.00021,440.51
10,0.003561,0.013897,0.000032,0.000197,543.06
15,0.004019,0.014954,0.000031,0.000206,481.17
