num_processes,total_time,cpu_time,min_block_time,max_block_time,throughput_MB_s
1,0.030543,0.022711,0.000002,0.008844,102.84
2,0.010705,0.013439,0.000002,0.000094,293.42
4,0.007135,0.018078,0.000002,0.000142,440.23
6,0.007281,0.025468,0.000003,0.001330,431.40
8,0.005827,0.022757,0.000004,0.000181,539.05
10,0.007971,0.032531,0.000004,0.001840,394.06
15,0.006323,0.024943,0.000002,0.000439,496.76
