num_processes,total_time,cpu_time,min_block_time,max_block_time,throughput_MB_s
1,0.021941,0.016599,0.00002,0.006916,87.12
2,0.008407,0.010562,0.000017,0.000127,227.37
4,0.007299,0.015582,0.00002,0.000824,261.89
6,0.006363,0.023232,0.000014,0.001411,300.41
8,0.004913,0.020984,0.00002,0.000315,389.07
10,0.006515,0.032669,0.000025,0.001372,293.4
15,0.007002,0.033316,0.00002,0.00174,272.99
